시도교육청코드,시도교육청명,표준학교코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221130,1800,발아현미밥(초)  <br/>순두부바지락국  (5.9.13.18.)<br/>모듬장조림(건강식단)  (1.5.6.10.13.)<br/>우엉채강정(초)  (4.5.6.12.13.)<br/>배추김치  (9.13.)<br/>바나나  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,534.1 Kcal,탄수화물(g) : 86.4<br/>단백질(g) : 26.6<br/>지방(g) : 11.2<br/>비타민A(R.E) : 53.9<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 7.5<br/>칼슘(mg) : 218.6<br/>철분(mg) : 4.7,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221129,1800,쇠고기채소볶음밥(건강식단)  (5.6.13.)<br/>꼬치어묵국  (1.5.6.13.)<br/>고추장떡볶이(초)  (1.2.5.6.10.12.13.16.18.)<br/>김말이튀김  (1.5.6.)<br/>깍두기  (9.13.)<br/>오렌지쥬스*  (5.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,640.1 Kcal,탄수화물(g) : 121.4<br/>단백질(g) : 22.0<br/>지방(g) : 9.2<br/>비타민A(R.E) : 174.4<br/>티아민(mg) : 0.3<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 65.0<br/>칼슘(mg) : 239.9<br/>철분(mg) : 6.3,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221128,1800,흑미밥  <br/>조랭이떡국(건강식단)  (1.5.6.13.16.)<br/>쭈꾸미돈육불고기*  (5.6.10.13.)<br/>무나물(건강식단)  <br/>치즈볼  (1.2.5.6.)<br/>배추김치  (9.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,673.7 Kcal,탄수화물(g) : 106.8<br/>단백질(g) : 29.5<br/>지방(g) : 15.5<br/>비타민A(R.E) : 132.5<br/>티아민(mg) : 0.6<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 13.1<br/>칼슘(mg) : 147.8<br/>철분(mg) : 3.5,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221125,1800,녹두밥  <br/>닭곰탕(건강식단)  (13.)<br/>도토리묵김치무침(초)  (5.6.9.13.)<br/>가자미뮈니에르(오븐)(건강식단)  (2.5.6.13.)<br/>총각김치  (9.13.)<br/>귤  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,577.3 Kcal,탄수화물(g) : 76.8<br/>단백질(g) : 30.3<br/>지방(g) : 17.0<br/>비타민A(R.E) : 107.0<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 43.0<br/>칼슘(mg) : 202.4<br/>철분(mg) : 3.1,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221124,1800,차조밥(초)  <br/>만두국*  (1.5.6.10.13.16.18.)<br/>멸치볶음*  (5.6.13.)<br/>안동찜닭(살)  (5.6.12.13.15.)<br/>배추김치  (9.13.)<br/>방울토마토  (12.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,525.3 Kcal,탄수화물(g) : 75.5<br/>단백질(g) : 30.5<br/>지방(g) : 12.0<br/>비타민A(R.E) : 144.8<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.4<br/>비타민C(mg) : 10.8<br/>칼슘(mg) : 210.7<br/>철분(mg) : 5.0,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221123,1800,카레라이스(단호박)  (2.5.6.10.13.)<br/>삼색초무침  (13.)<br/>핫도그-뱅글  (1.2.5.6.10.12.13.16.)<br/>깍두기  (9.13.)<br/>바나나우유  (2.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,671.0 Kcal,탄수화물(g) : 103.0<br/>단백질(g) : 20.6<br/>지방(g) : 21.6<br/>비타민A(R.E) : 355.8<br/>티아민(mg) : 0.2<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 9.4<br/>칼슘(mg) : 209.1<br/>철분(mg) : 2.5,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221122,1800,흑미밥  <br/>쇠고기무국*  (5.6.13.)<br/>오이도라지무침  (5.6.13.)<br/>돼지고기버섯불고기  (5.6.10.13.)<br/>배추김치  (9.13.)<br/>과일쥬스(파인)  (5.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,575.6 Kcal,탄수화물(g) : 95.7<br/>단백질(g) : 25.9<br/>지방(g) : 9.5<br/>비타민A(R.E) : 40.1<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 15.7<br/>칼슘(mg) : 180.2<br/>철분(mg) : 3.1,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221121,1800,발아현미밥(초)  <br/>등뼈감자탕  (5.6.9.10.)<br/>잡채*  (5.6.8.10.13.)<br/>해물김치전(건강식단)  (1.6.9.13.)<br/>총각김치  (9.13.)<br/>오렌지  ,쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,640.6 Kcal,탄수화물(g) : 97.2<br/>단백질(g) : 32.0<br/>지방(g) : 15.8<br/>비타민A(R.E) : 211.7<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 33.3<br/>칼슘(mg) : 281.3<br/>철분(mg) : 3.4,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221118,1800,검정콩밥  (5.)<br/>해물짬뽕국(건강식단2)  (5.6.9.18.)<br/>^숙주나물무침(중)  <br/>수제함박스테이크  (1.2.5.6.10.12.13.)<br/>배추김치  (9.13.)<br/>과일쥬스(포도)  (5.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,533.4 Kcal,탄수화물(g) : 82.8<br/>단백질(g) : 28.2<br/>지방(g) : 11.7<br/>비타민A(R.E) : 170.8<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.8<br/>비타민C(mg) : 12.3<br/>칼슘(mg) : 223.3<br/>철분(mg) : 4.1,20221107
J10,경기도교육청,7781151,배곧해솔초등학교,2,중식,20221117,1800,삼색비빔밥/양념장(건강식단)  (5.6.13.)<br/>미니케이크  (1.2.5.6.13.)<br/>계란파국  (1.13.)<br/>닭다리데리야끼구이  (5.6.12.13.)<br/>배추김치  (9.13.),쌀 : 국내산<br/>김치류 : 국내산<br/>고춧가루(김치류) : 국내산<br/>쇠고기(종류) : 국내산(한우)<br/>돼지고기 : 국내산<br/>닭고기 : 국내산<br/>오리고기 : 국내산<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 가공품 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>콩 : 국내산,622.3 Kcal,탄수화물(g) : 68.3<br/>단백질(g) : 37.7<br/>지방(g) : 19.0<br/>비타민A(R.E) : 306.0<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 6.4<br/>칼슘(mg) : 197.0<br/>철분(mg) : 4.0,20221107
